name,content
A11,The rapid development of advanced information and communication technology enables the mainstream trend of manufacturing value propositions towards smart product service system PSS Prospect innovative value propositions IVPs emerge in the context of smart PSS The IVPs analysis plays a critical role in the successful planning and design of smart PSS business model which includes two key steps identification and evaluation However the existing research rarely systematically explore what value propositions can be identified in the emerging field of smart PSS Thus this study conducts a comprehensive IVPs identification through literature review and prioritize these IVPs to provide support for later smart PSS concept design Compared to other evaluation methods the Decision Making Trial and Evaluation Laboratory DEMATEL presents higher effectiveness to evaluate the interrelationship and importance degree of the identified IVPs Moreover the previous fuzzybased DEMATEL is feasible to handle intrapersonal uncertainty individual linguistic vagueness and the previous roughbased DEMATEL can effectively manipulate the interpersonal uncertainty group preference diversity Nevertheless there are few researches on simultaneous manipulation of the two kinds of uncertainty which may lead to inaccurate evaluation results Therefore this study develops a novel graphicsbased roughfuzzy DEMATEL method for IVPs evaluation The effectiveness and accuracy of the proposed evaluation method are illustrated through the application in the smart vehicle service system and the comparisons with several different methods The proposed evaluation model can provide more accurate and informative results because it integrates the merits of fuzzy set in coping with the intrapersonal uncertainty and the strength of rough set in handling interpersonal uncertainty and supports to present decision inconsistency along with the final weights based on a proposed graphics based operator
A12,This article contributes to the ongoing discussion revived by the servicedominant logic thesis on value propositions in service organizations Against a backdrop of understanding value as a pluralistic social construct that takes place across different institutionalized practices of valuation or regimes of value we argue that value propositions transcend the immediate localness of both value in exchange and value in use Correspondingly we claim that service practitioners may draw advantages from engaging with a politics of value that addresses multiple regimes of value whether commensurable or not A case study of waste management services in Sweden serves as an illustration of such a politics that combines practical economic political and environmental aspects of value propositions
A13,The success of internal corporate ventures ICVs is contingent upon their ability to anticipate the bases on which their offerings appeal to their target markets adjust these value propositions as the venture develops and leverage their parent corporations relevant knowledge stocks Aimed at developing a deeper understanding of the process requirements of successful exploratory initiatives we build and test a model of venture performance using data from 145 ICVs We find that value proposition evolution is related to venture performance in a curvilinear manner ICVs whose value propositions exhibit moderate evolution perform better than ICVs whose value propositions exhibit no evolution or extensive evolution Furthermore the value proposition evolution performance relationship is moderated by the parent corporations familiarity with the ventures target market
A14,Health service managers and industry face significant challenges in implementing Hand delivering innovations for healthcare shrinking budgets mean there is a need to understand more clearly the value of innovations An articulation of the value proposition that is the value created for users by technology is the key starting point for current thinking on open and innovative business models The aim of this research is to develop a framework for valuing a new medical device at the concept stage that balances benefit to the healthcare provider against commercial costs This paper proposes that appropriate evidencegathering activities such as determination of the clinical value proposition and early health economic tools such as the headroom method can be utilised as part of the development process to contribute to the early stage estimates of value beneficial to both the health service and industry decision makers
A15,This article addresses two managerial issues How have these firms managed to achieve leadership and How do they sustain their position of advantage in the turbulence of this eras digital transformation We will examine these two issues using the lens of the mutually determined CVP perspective and advocate starting with an outside in perspective
A16,The paper presents strategies of value proposition on the Internet Author has distinguished and described strategies of efficiency free values complete customer solutions unique values and value co-creation These strategies are different from traditional strategies of value proposition which refer values for customers to the level of price
A17,This conceptual review article traces back the roots of the value concept to the early economic literature that distinguishes between two complementary perspectives on customer value value in exchange and value in use Building on this important distinction we argue that the value literature has evolved from a focus on resource exchange and value in exchange to an emphasis on resource integration and value in use.we identify distinct stages of conceptualizing customer value and articulating customer value propositions and argue that a deep understanding of how value is created in a customer's use situation is gaining importance in todays competitive market places
A18,"This study presents a systematic analysis of approaches that can support the design of circular and or product service system value propositions in the context of business model innovation The approaches identified were classified according to their theoretical and practical characteristics development level nature of data representation style process type actors perspective and purpose The paper proposes guiding principles that can support effective development of value propositions of circular product service system at the early stages of the business modeling A research agenda is outlined and indicates key trends oriented towards the development of an integrated and systemic approach based on a multiple stakeholder perspective definition of design options of value propositions of circular product service system,exploitation of perceived value and more quantitative and empirical studies"
A19,This paper sets out to explore value propositions in the context of SD logic within the multiple stakeholder domains that form part of a marketing system Its purpose is to identify how use of the value proposition concept in this broader context provides new insight into value creation within a value network This paper explores the development of value propositions in key stakeholder market domains
A20,"The purpose of this article is to explore the nature of value propositions extending prior conceptualisations by taking a service ecosystem perspective Following a critical review of the extant literature in service science on value propositions value cocreation service dominant logic and networks and drawing on six metaphors that provide insights into the nature of value propositions, we develop a new conceptualisation We describe the role of value propositions in an ecosystem as a shaper of
resource offerings Finally we provide five key premises and outline a research agenda"
A21,To support the development and design of value propositions this paper designs the VdiP developer as a framework for the systematic development of digitization enabled value propositions in service systems It considers the advancement of existing likewise the development of new value propositions In particular the VdiP developer highlights the roles of digital technology in service systems and establishes a framework to consider both digital technology and service systems in the development of value propositions
A22,This study examines the state of communicating the brand value proposition via a systematic literature review from research published in marketing journals The paper concludes with a suggestion for more robust empirical research on the construction and deconstruction of brand value propositions a need for more managerially focused research and a future research that examines the under researched area of how value propositions are effectively communicated on branded websites
A23,The purpose of this paper is to explore what value dimensions and related value components are highlighted in the value proposition of knowledge intensive business services KIBS both at the relationship and project levels how value propositions can differ between new and established customer relationships and finally what is characteristic to the evolution of value proposition in the KIBS context The aim is to offer a comprehensive picture of the variety of value components in KIBS relationships likewise how the nature and composition of value proposition changes as a relationship evolves from conducting a single project toward a more established customer relationship Individual experts seem to possess a crucial role in that development
A24,This study aims at contextualizing value propositions by investigating theoretically how consumers experience and evaluate value propositions in practices It pinpoints what their essence is in customers lives the ability of offerings to help customers to enact desirable cultural discourses into experience in practices Hence the study constructs value propositions as firms proposals that integrate sign value the meanings of value propositions addressing desirable cultural discourses experience value sign value materialized into experience in a practice exchange value financial and non financial sacrifices and resources needed to address and materialize sign value In general this study extends understanding on the socio cultural and situational character of value propositions value creation and value co creation
A25,This article provides entrepreneurs with guidance to help understand and express the specific and compelling value proposition for their Internet of Things offer IoT enables such a wide range of possible short and long term opportunities that IoT entrepreneurs may fall into the trap of considering IoT generally rather than positioning their offer to a buyer in a specific manner that helps win deals
A26,The paper pursues to answer this question from the perspectives of data ownership and key value propositions From the dimension of data ownership and key value propositions this research proposes a research framework to guide the analyses of digital transformation strategy The four firms are used to identify five types of digital strategies namely new product strategy new value added service strategy customized strategy product embedded in the platform and platform service product strategy based on the framework of digital transformation strategy decision
A27,Authors draw on the concept of value proposition from the business and public administration literature and use extensive network data from a food systems planning network to test hypotheses focusing on the positionality of member organizations within specific operational subnetworks by correlating positionality with multiple assessments of value Results indicate that embeddedness in the information sharing subnetwork most strongly correlates with member value proposition
A28,"The paper identifies and labels the activities of this exchange applying, assessing adapting and adopting using the literature on knowledge creation and management as a point of departure A granular analysis is provided of how the script of each resource integrating actor mediates the activities of reciprocal exchange of knowledge when forming a value proposition"
A29,This paper aims to examine the notion of value propositions promises of reciprocal value between service providers and their customers valueinexchange and valueinuse all within the conceptual context of servicedominant SD logicResponding to calls in the recent literature for an academic critique of SD logic and its application in marketing situations of varying complexity the paper presents a conceptual analysis of the determinants of value emphasis in value propositions from the SD perspective Four guiding principles are derived from a rigorous analysis of the B29:B42relevant literaturesWays are discussed in which firms might achieve greater flexibility in designing their market offerings and thus manage different customer segments using different value propositions The general conclusion is that the ability to communicate a firms value propositions strategically and effectively is a new area for the development of competence at the core of competitive advantage The findings pave the way for empirical research into the dynamics of value propositions Since the main focus of the conceptual framework is on the customerprovider dyad future studies should broaden coverage to multilateral settings and networked environments Factors that determine the relative emphasis in value propositions between valueinexchange and valueinuse are discussed and the management implications derived from each of the four principles identified The paper elaborates the application of SD logic in marketing by investigating the determinants of relative emphasis of value propositions
A30,"Productservice systems PSS have received attention as having the potential to meet customers needs 
by combining products and services decrease environmental impacts and provide business opportunities 
for industry PSS have the potential to facilitate sustainable production and consumption and 
support a transition towards a circular economy CE The environmental sustainability is often highlighted 
as a driver for and a result of PSS However the social dimension and the shared value created by 
PSS have not yet achieved the same attention A framework for sustainable value propositions 
in PSS is developed with the aim to map and understand the potential sustainable value proposition 
based on the three core elements of PSS product service and system and by investigating the 
economic environmental and social value proposition and the type of interaction required for each 
dimension The framework thus provides insight into the enlargement of value when focus shifts from 
product to service to system The proposed framework is exemplified by a case study of school furniture 
and learning environments in Denmark where the experiences highlight that an understanding of value 
proposition in a system perspective provides a broader recognition of value for multiple stakeholders In 
a product perspective for school furniture the sustainable value proposition entails price and investment 
comfort and design and narrowing resource loops In a service perspective the sustainable value 
proposition entails a focus on reducing total cost of ownership service employment and slowing 
resource loops Lastly a system perspective entails a sustainable value proposition of solutions to societal problems through innovative design and economic savings via rental agreements better work environment and improved learning outcome and closing resource loops The type of interaction changes 
from transactional to partnerships when moving from a product to a system focus"
A31,"It is easy for businesses to underestimate the importance of strategically using VPs They must be 
communicated credibly and vividly a challenge often pursued with great energy by marketing But often equally important and sometimes most crucial of all a business must take its VP serious enough to ensure actually providing it as well"
A32,This research examines whether explicitly communicating the customers resource integrating role in value propositions improves or diminishes value proposition effectiveness Three effectiveness criteria are used role clarity expected customer value and purchase intentionTwo experiments manipulating the presence of the customers resource integrating role in value propositions test the conceptual model in both an indirect interaction and a direct interaction context Explicitly communicating the customers resource integrating role in value propositions increases customers role clarity which in turn influences customers attitude toward the service and purchase intention through a servicerelated ie expected benefits and expected efforts and an adrelated ie ad credibility and attitude toward the ad route However these results only hold for customers high in resource availability This research provides initial empirical support for the oftenstated claim that value propositions should include the potential value of the offering as well as the resource integrating role of the customer Taking a broader perspective this research provides initial empirical support for recent calls to develop marketing communication practices that facilitate valueinuse This papers findings show that adopting a service logic in marketing communications seems to improve value propositions effectiveness
A33,Customer value creation is dependent on a firms capacity to fulfil its brand promises and value propositions The paper explores FLEs motivation to align with a firms value propositions as operationalised brand promises A longitudinal threephase case study was conducted on a businesstobusiness company in the building and technical trade sector This study reveals factors that foster and weaken employees motivation to align with a firms brand promises and value propositions The findings show that coactivity and authentic practicedriven promises and value propositions foster FLEs motivation to uphold brand promises and value propositions whereas an objectifying stance and power struggle weaken their motivation The study indicates that a bottomup approach to strategising is needed and that FLE is to be engaged in traditional managerial domains such as in developing value propositions By creating space and agency for FLE in the strategising process their motivation to align with value propositions is fostered Four motivational modes are suggested to support bottomup strategisingDeveloping value propositions traditionally falls within the domain of management strategising while employees are ascribed the role of enactment Contrary to the established norm this paper highlights employees active role in strategising and developing value propositions
A34,the concept of value proposition was decomposed into five components performance ease of use reliability flexibility and affectivity PERFA The research did not focus on the relationships between the value proposition elements and their relevance in different contexts such as product industry or customer life cycleManagers should support their decision to innovate the value proposition based on customers perceived value The findings provide guidance to managers on how to uncover innovative value propositions and potentially create new demand in an uncontested market spaceThe paper is an original attempt to correlate value proposition and innovation It provides researchers and practitioners with a better understanding of the structure of a value proposition and how innovation can influence it
A35,"This article offers an overview of research on the value that businesses and industrial marketers analyze 
create and deliver This review highlights the changes in our notions of value and helps to identify seven areas for consideration that should drive future research value proposition relationship form capabilities management value metrics temporal horizon innovation imperative and tactical focus Following this depiction of value analysis value creation and value delivery we present a process model for value orchestration in business and industrial marketing Three activities collectively form the basis of value orchestration namely structuring activities bundling activities and leveraging of resources"
A36,With a focus on supply chains as ecosystems of service exchange our paper aims to explore how value propositions are developed and evolve via combinations of service innovation A single longitudinal case study is presented The units of analysis are different projects along a logistics service provider LSP s innovation journey The study explores how the case company identified innovation in logistics as a gap and developed a distributed manufacturing strategy with a unique business model involving a reallocation of production functions across a global supply network Our contribution is twofold In terms of theory we adopt a servicedominant logic perspective to investigate how companies value propositions evolve over time In terms of managerial contributions our paper provides insights into how service providers can strategically integrate their resources with service ecosystem partners to provide competitive business propositions
A37,"There are many innovations that stem from technological pushes and research and development efforts The commercial success of these innovations is contingent upon existence of a good fit between the technological innovation and the accompanying business model To date this fit has been mostly sought through trials and 
errors In this paper we develop a framework for analytically choosing and aligning two important components of the business model value proposition and target market to fit the technological innovations"
A38,"The circular economy CE can be a driver for sustainability and CE can be promoted and supported by 
the creation of new and innovative business models which embed CE principles into their value propositions throughout the value chains This study focuses on the environmental value propositions of the CE business models The term environmental value proposition refers here to an absolute value being a promise of environmental improvement which a company provides to the environment by its impacts throughout the whole value chain The aim of this study is to outline a framework for evaluating the environmental value propositions of CE business models The framework consists of an environmental value propositions table EVPT and a stepbystep approach towards an evaluation process The framework was tested in three CE business model cases The outlined framework enables a better understanding of circular economy principles combining them with the environmental value proposition With the framework companies can plan and design new CE business models or they can verify intended environmental benefits and analyse their contribution to sustainability The biggest challenges when 
applying the framework were related to the estimation of environmental benefits gained from the 
environmental value propositions at the system level"
A39,This research proposes a new framework on value creation the value matrix The value matrix through its six value propositions provides a comprehensive framework to understand how different organisations within a supply chain create value It explores value creation from both the organisational and customer perspectives A constructive research approach through an indepth case study on the fashion industry demonstrates that the value propositions of key members of the supply chain should be aligned to enhance the value proposition of the entire supply chain and other members which are not strategic members of the supply chain can have different value propositions
A40,"We find a positive relationship between noveltycentred business models and company performance Furthermore companies achieved the best performance by combining elements of the efficiency and complementarity business 
model design themes"
A41,From the alignment perspective to develop a comprehensive process model that depicts the important underlying characteristics of focal firmkey accounts dyadic relationshipsOn the other hand crossdyad analysis helped us identify idiosyncratic KAM treatment among heterogeneous key accounts Drawing upon the literature and the field data this study reveals four different patterns of alignment ie opportunistic alignment passive alignment mutualistic alignment and compensatory alignment that may be enacted in accordance with the different relationships developed with the individual key accounts Across the four focal firm key account dyads this study further uncovers how various factors ie idiosyncratic investment power structures behavioral norms and commitment precipitate different alignment patterns and drive alignment transitions over time This article suggests that a focal firm should manage its key accounts by aligning its value proposition with the specific desired value of each individual account and adjust its management approach based on different phases of dyadic relationship development This article extends knowledge of KAM by concurrently addressing its dyadic and heterogeneous nature in a process model The alignmentoriented view of KAM sheds light on the underlying characteristics of focal firmkey accounts relationships and contributes to our understanding of managing key account portfolios throughout the process of relationship development
A42,B2B firms that explicitly emphasize a CVP invest more in their brands have higher future sales and sales per customer We also find that CVP has a negative effect on the size of their customer base perhaps because firms who care about a CVP appear to attract more longterm loyal customers Firms that pay more attention to CVP also tend to spend less on advertising and promotion Future performance particularly among small to midsize firms is positively affected when these firms emphasize CVP and this also holds especially in less competitive markets
A43,The study aims to relate the customer value proposition offered by a bank with its structure of ownership The study adopted a combination of exploratory and descriptive approaches The attitudes and opinions of bank customers were gauged through a survey Based on existing literature a pool of survey items was identified to measure the construct of value proposition It was hypothesized that different types of banks in India are chosen for different customer benefits offered by them The relationship between value proposition and its constituent variablesfunctional emotional and self expressive benefits was analyzed using multiple regression The results prove that while self expressive benefits drive the choice of foreign banks functional benefits are important for all types of banks The research intends to study only the perceptions of customers having an account in Indian public sector banks private sector banks or foreign banks The study helps to relate the type of bank a customer chooses with the value proposition it offers Using this study banks can configure the value proposition that is appropriate for their target segments The paper examines the value proposition offered by the three different types of banks empirically It links bank choice of the customer to the benefit assortment offered by different types of banks
A44,This article explores the trends identified in a survey of library directors on efforts to document and communicate library contributions to student retention Library deans or directors have little in the way of communication methods for sharing library impact on retention Methods that are used tend to be unidirectional in nature Based on these results this article also presents a framework of stakeholder markets and examples of reciprocal value propositions library leaders could develop around library contributions to retention efforts This in turn can assist with advocacy and the communication of academic library value to university leaders and other higher education stakeholders
A45,Forward looking firms are increasingly viewing markets as malleable and plastic systems that can be influenced Hence they are engaging in market shaping to proactively augment existing business opportunities or to create new ones One of the recurring themes in the emerging market shaping literature is the importance of value propositions Consequently the purpose of this paper is to identify configurations of value proposition characteristics that are effective for focal firms engaging in market shaping strategies In our empirical study we analyze market shaping actions carried out by 21 case firms using fuzzy set qualitative comparative analysis We identify four characteristics of market shaping value propositions: enhanced resource integration and related support as the core content of market shaping value propositions and collaborative value proposing process systemic and verified value promise and new representations used in communication as the design characteristics of market shaping value propositions Further we show that even though value propositions can shape markets without displaying all four of these characteristics none of these characteristics alone can create all the expected outcomes Hence we identify distinct configurations of value proposition characteristics that are successful in either changing the elements comprising the market system or inducing an overall system level market change
A46,The purpose of this paper is to present a visualisation of the firm’s offering from a service dominant logic S DLogic perspective The case of Rolls Royce is presented as an avenue through which to explore an alternative view of the firm’s value proposition a visualisation informed by S DLogic that could aid organisations in their transition from goods dominant logic G DLogic to S DLogic Through integration of an operations management approach in process mapping and design and simulation with choice modelling in business to business marketing this paper operationalises some of the key aspects of S DLogic most notably focusing on the constructs of value and resources This is explored through a single case; Rolls Royce which provides access to a rich source of internal and customer dataThe study finds that the S DLogic visualisation of the firm’s value proposition in equipment based service consists of its contribution to 11 value creating activities towards value in use The visualisation depicts both the highest possible bundle of benefits for the customer along with the resources and their costs associated with delivering those bundles When brought together these enable the identification of the optimal bundle of value creating activities from both customer and firms’ perspective This paper provides empirical evidence of the difference between a G DLogic and S DLogic view of the firm’s value proposition In doing so extending existing literature on S DLogic by contributing to a methodological and empirical gap Notably it makes abstract concepts of S DLogic concrete providing a pathway for future empirical work and begins the process of systematising a methodology in S DLogic
A47,This paper aims to elucidate what concepts of encroachment in business to consumer markets explain the market share increase of companies with sustainability value propositions It documents the encroachment field analyses the practice of ten companies and proposes and defines the additional concept of transparency encroachment Design/methodology/approach – Semi structured interviews were conducted with representatives of companies with an increase in customers and market share due to their sustainability value proposition These were supplemented with secondary data like documented interviews sustainability reports and reports on market development The interview transcripts and secondary data notes were coded using template analysis Findings – As the literature on encroachment assumes that new value propositions take away market share from incumbents due to advantages for customers it is questionable whether it can explain how value propositions with advantages for society as a whole can encroach markets The results of this study show that the dominant forms of encroachment in the current literature – high end encroachment low end encroachment and business model encroachment – can only partly explain encroachment through sustainability value propositions An additional encroachment form is identified: transparency encroachment Research limitations/implications – This research adds greater clarity to what companies do when they encroach markets with sustainability value propositions Furthermore the pattern of transparency encroachment is discussed to define the common aspects of this concept and to argue why these aspects are needed for encroachment It implies that marketing activities should start from the perception that customers are allies – and not kings – in the development toward higher levels of sustainability Practical implications – The paper offers practical implications insofar as it deconstructs three aspects of transparency encroachment that are enacted by companies Customer awareness unique experience and customer contribution are all needed to enact transparency encroachment It is argued that other companies introducing sustainability value propositions to encroach markets should find their own application of these three aspects to create the potential for successful encroachment Social implications – Because of the focus on sustainability aspects of value propositions this study generates knowledge about the marketing and encroachment of products with a relatively positive impact on society Adoption of the identified concept of transparency encroachment contributes to sustainable development Originality/value – To date there has been very little marketing research that explores the role of sustainability value propositions in the encroachment of markets Nonetheless nowadays customers seem to look beyond their own benefits and are increasingly demanding a new approach that builds upon the sustainability aspects of products This research adds greater clarity to encroachment through sustainability value propositions
A48,Advances in sustainable purchasing put pressure on firms to evaluate and demonstrate the sustainability of their products and services In this paper we coin the term sustainable value proposition develop a process framework for building sustainable value propositions and illustrate its application with two technology intensive offerings By integrating the literature on sustainable marketing and customer value propositions with life cycle assessment methodologies we build a process framework that can be applied to demonstrate and evaluate the economic environmental and social benefits of industrial products and services The framework comprises identification of potential impacts identification of key value creation mechanisms choosing key indicators life cycle modeling and 5 life cycle value demonstration Through two case studies we examine the development of sustainable value propositions in two industry sectors: metallurgical and automotive The results highlight the value provided to customers through the combination of direct economic benefits and derivative benefits of reduced environmental and social impacts Our paper contributes to the growing field of sustainable marketing by offering guidelines on how to integrate sustainability with the marketing and purchasing of technologyintensive offerings In addition we offer guidelines for how to construct sustainable value propositions that resonate with customers
A49,Scholars identify the value proposition as representing the essence of strategy and the firm’s single most important organizing principle However research suggests less than 10 per cent of companies formally develop value propositions The purpose of this paper is to undertake case study research investigating the process by which leading companies develop their value propositions The research identifies that the financial services and telecommunications vertical markets are viewed as the highly sophisticated industry sectors in terms of customer management These industry sectors are selected for investigation The paper develops case studies of two companies’ approaches to developing value propositions in the business to business and business to consumer sectors within these vertical markets This paper contributes to the marketing literature by examining how two large and complex service enterprises have adopted structured processes for developing innovative value proposition within the B2B and B2C sectors The authors argue that innovation in value proposition development represents a substantive opportunity for marketing to reassert its influence in the boardroom This case study research provides guidelines of the processes by which enterprises can successfully develop innovative value propositions This research is considered to be the first case based academic exploration of the formal processes by which large organizations develop value propositions
A50,Value propositions can play a major role for the strategy development and implementation process in B2B markets While being recognized as one of the firms most important organizing principles the VP concept is still poorly understood and executed in many B2B firms and scholarly research provides limited guidance on how to develop and implement VPs in B2B markets This article re assesses the VP in the context of both strategy and implementation It undertakes a review of extant conceptual frameworks and identifies key elements that are overlooked and/or not addressed A new conceptual framework for addressing VP design and development is offered which incorporates five key interrelated phases of implementation that need to be comprehensively addressed This research provides a theoretically sound and practically applicable VP development framework integrating the firms strategic considerations ensuring a fit between its business model and customers needs and reflecting the nature of B2B markets through its dynamic perspective In addressing key implementation issues the article provides firms with a robust approach to addressing the dynamic competitive environment as well as taking into account changing customer needs
A51,Research into the identification and development of value propositions has recently been identified as a key research priority by the Marketing Science Institute The purpose of this article is to identify and develop a process for value proposition deconstruction that can help organizations transform their value propositions in order to gain an improvement in their competitive position A case study of an exemplar organization in the health care sector is used to develop an approach for value proposition deconstruction Using the business system concept as a theoretical framework the key value adding elements that comprise this organization’s value proposition are identified A leading financial services firm is used to demonstrate how this learning approach can be successfully applied in developing a new and innovative value proposition Using the business system framework a structured process for deconstructing value propositions is developed This framework is extended to explicitly acknowledge the value in use that results from different encounters to incorporate learning processes and to recognize its interactive and recursive nature The authors provide practitioners with insight into how to formulate new or improved value propositions This work addresses two important and previously unaddressed research questions: how can the process of deconstruction of an exemplar organization’s value proposition provide a more comprehensive understanding of the elements that comprise a superior value offering; and how can this process be applied to other organizations seeking to improve their value proposition?
A52,The customer value proposition has a critical role in communicating how a company aims to provide value to customers Managers and scholars increasingly use CVP terminology yet the concept remains poorly understood and implemented; relatively little research on this topic has been published considering the vast breadth of investigations of the value concept In response this article offers a comprehensive review of fragmented CVP literature highlighting the lack of a strong theoretical foundation; distinguishes CVPs from related concepts; proposes a conceptual model of the CVP that includes antecedents consequences and moderators together with several research propositions; illustrates the application of the CVP concept to four contrasting companies; and advances a compelling agenda for research
